Epic ID,Story ID,Title,Description,Priority,Story Points,Sprint,Assignee,Acceptance Criteria,Subtasks
EP-01,US-01.1,User Registration,"As a visitor, I want to register with my email, name, password, and role, so that I can access the platform.",High,5,Sprint 1,Dev A,"- User can select role: Stagiaire or Formateur
- Stagiaire can select speciality + year
- Email must be unique — display error if taken
- Password requires minimum 6 characters
- Password confirmation field must match
- On success, user is redirected to Dashboard
- JWT token is stored in localStorage","- Create RegisterPage UI with form fields (2h)
- Implement form validation (client-side) (1h)
- Connect to POST /api/auth/register (1h)
- Create registerUser async thunk in authSlice (1h)
- Handle error states and display messages (1h)"
EP-01,US-01.2,User Login,"As a registered user, I want to log in with my email and password, so that I can access my account.",High,5,Sprint 1,Dev A,"- User enters email + password
- On success, JWT is stored and user is redirected to Dashboard
- On failure, a clear error message is displayed
- Loading spinner is shown during request","- Create LoginPage UI (1.5h)
- Create loginUser async thunk (1h)
- Store JWT + user in localStorage and Redux (1h)
- Handle API errors and display feedback (1h)
- Add redirect to Dashboard on success (0.5h)"
EP-01,US-01.3,JWT Token Management,"As a logged-in user, I want my session to persist across page refreshes, so that I don't have to log in every time.",High,3,Sprint 1,Dev A,"- JWT token is auto-attached to every API request via Axios interceptor
- On 401 response, user is redirected to login and token cleared
- On app load, user state is restored from localStorage","- Configure Axios interceptor for Authorization header (1h)
- Implement 401 response interceptor with redirect (1h)
- Restore auth state from localStorage on app init (1h)"
EP-01,US-01.4,Protected Routes,"As a platform admin, I want unauthenticated users blocked from protected pages, so that only logged-in users can access the platform.",High,5,Sprint 1,Dev A,"- ProtectedRoute redirects unauthenticated users to /login
- RoleGuard blocks users without the required role → /unauthorized
- Admin routes only accessible by admin role
- Formateur routes accessible by formateur + admin
- Unauthorized page displays clear message with back link","- Create ProtectedRoute component (1h)
- Create RoleGuard component (1h)
- Create UnauthorizedPage (0.5h)
- Configure route nesting in router.tsx (1.5h)
- Test all role-based access scenarios (1h)"
EP-01,US-01.5,Logout,"As a logged-in user, I want to log out of my account, so that I can secure my session.",High,2,Sprint 1,Dev A,"- Logout button in Navbar
- On click, JWT and user data cleared from localStorage + Redux
- User redirected to login page","- Add logout action to authSlice (0.5h)
- Add logout button to Navbar (0.5h)
- Clear storage and redirect on logout (0.5h)"
EP-01,US-01.6,Auto-Redirect Authenticated Users,"As a logged-in user, I want to be redirected to Dashboard if I visit /login, so that I don't see the login page unnecessarily.",Low,2,Sprint 2,Dev A,"- If user is authenticated and visits /login or /register, redirect to /dashboard","- Add redirect logic in LoginPage and RegisterPage (1h)"
EP-01,US-01.7,Password Reset,"As a user who forgot my password, I want to reset it via email, so that I can regain access.",Low,5,Backlog,Dev A,,
EP-02,US-02.1,View Courses List,"As a stagiaire, I want to see a list of all available courses, so that I can find courses relevant to me.",High,5,Sprint 1,Dev B,"- Courses displayed in responsive grid (1/2/3 columns)
- Each card shows: thumbnail, title, description, formateur, rating, speciality
- Loading spinner while fetching
- Empty state when no courses found
- Pagination if > 12 courses","- Create CourseCard component (1.5h)
- Create CoursesPage with grid layout (2h)
- Create coursesSlice with fetchCourses thunk (1.5h)
- Create coursesService.getAll() (0.5h)
- Add pagination component (1h)"
EP-02,US-02.2,Course Details Page,"As a stagiaire, I want to see full details of a course, so that I can understand its content before studying.",High,5,Sprint 1,Dev B,"- Hero banner with thumbnail/gradient fallback
- Displays: title, description, content, speciality, year, formateur, date, rating
- Lists attached resources with download buttons
- Shows edit/delete buttons for owner (formateur) and admin only
- Back button to courses list","- Create CourseDetailsPage UI (2h)
- Create fetchCourseById thunk (1h)
- Display resources section (1h)
- Conditional edit/delete buttons per role (1h)"
EP-02,US-02.3,Create Course,"As a formateur, I want to create a new course with title, description, content, speciality, and year, so that my students can access my teaching material.",High,5,Sprint 2,Dev B,"- Only formateurs and admins can access the create form
- Form fields: title, description, content (textarea), speciality (dropdown), year, thumbnail (optional)
- Validation: title and description required
- On success, redirect to new course details
- Success toast notification","- Create CreateCoursePage with form (2h)
- Implement coursesService.create() with FormData (1h)
- Add route guard for formateur role (0.5h)
- Add success redirect and toast (0.5h)"
